INDEX,YEAR,MN,DT,RF,week
42933,2015,4,16,0.0,16
42933,2015,4,17,0.0,16
42933,2015,4,18,0.0,16
42933,2015,4,19,0.0,16
42933,2015,4,20,0.0,16
42933,2015,4,21,0.0,16
42933,2015,4,22,0.0,16
42933,2015,4,23,0.0,17
42933,2015,4,24,0.0,17
42933,2015,4,25,0.0,17
42933,2015,4,26,0.0,17
42933,2015,4,27,0.0,17
42933,2015,4,28,0.0,17
42933,2015,4,29,0.0,17
42933,2015,4,30,0.0,18
42933,2015,5,1,0.0,18
42933,2015,5,2,0.0,18
42933,2015,5,3,0.0,18
42933,2015,5,4,0.0,18
42933,2015,5,5,0.0,18
42933,2015,5,6,0.0,18
42933,2015,5,7,0.0,19
42933,2015,5,8,0.0,19
42933,2015,5,9,0.0,19
42933,2015,5,10,0.0,19
42933,2015,5,11,0.0,19
42933,2015,5,12,0.6,19
42933,2015,5,13,1.6,19
42933,2015,5,14,0.0,20
42933,2015,5,15,0.0,20
42933,2015,5,16,0.0,20
42933,2015,5,17,0.0,20
42933,2015,5,18,0.0,20
42933,2015,5,19,0.0,20
42933,2015,5,20,0.0,20
42933,2015,5,21,0.0,21
42933,2015,5,22,0.0,21
42933,2015,5,23,0.0,21
42933,2015,5,24,0.0,21
42933,2015,5,25,0.0,21
42933,2015,5,26,0.0,21
42933,2015,5,27,0.0,21
42933,2015,5,28,0.0,22
42933,2015,5,29,0.0,22
42933,2015,5,30,0.0,22
42933,2015,5,31,0.0,22
42933,2015,6,1,0.0,22
42933,2015,6,2,0.0,22
42933,2015,6,3,0.0,22
42933,2015,6,4,0.0,23
42933,2015,6,5,0.0,23
42933,2015,6,6,0.0,23
42933,2015,6,7,0.0,23
42933,2015,6,8,1.0,23
42933,2015,6,9,0.3,23
42933,2015,6,10,0.0,23
42933,2015,6,11,1.8,24
42933,2015,6,12,54.4,24
42933,2015,6,13,5.4,24
42933,2015,6,14,16.4,24
42933,2015,6,15,0.0,24
42933,2015,6,16,0.0,24
42933,2015,6,17,15.6,24
42933,2015,6,18,21.9,25
42933,2015,6,19,14.5,25
42933,2015,6,20,7.4,25
42933,2015,6,21,1.4,25
42933,2015,6,22,18.0,25
42933,2015,6,23,2.2,25
42933,2015,6,24,0.3,25
42933,2015,6,25,0.1,26
42933,2015,6,26,0.2,26
42933,2015,6,27,0.0,26
42933,2015,6,28,0.0,26
42933,2015,6,29,0.0,26
42933,2015,6,30,0.0,26
42933,2015,7,1,0.0,26
42933,2015,7,2,0.0,27
42933,2015,7,3,0.0,27
42933,2015,7,4,0.0,27
42933,2015,7,5,0.0,27
42933,2015,7,6,0.0,27
42933,2015,7,7,0.0,27
42933,2015,7,8,0.0,27
42933,2015,7,9,0.0,28
42933,2015,7,10,0.0,28
42933,2015,7,11,0.0,28
42933,2015,7,12,0.0,28
42933,2015,7,13,0.0,28
42933,2015,7,14,0.0,28
42933,2015,7,15,0.0,28
42933,2015,7,16,0.0,29
42933,2015,7,17,0.0,29
42933,2015,7,18,0.0,29
42933,2015,7,19,1.4,29
42933,2015,7,20,0.3,29
42933,2015,7,21,19.7,29
42933,2015,7,22,1.0,29
42933,2015,7,23,55.4,30
42933,2015,7,24,4.7,30
42933,2015,7,25,21.4,30
42933,2015,7,26,4.1,30
42933,2015,7,27,1.4,30
42933,2015,7,28,3.5,30
42933,2015,7,29,1.5,30
42933,2015,7,30,0.0,31
42933,2015,7,31,0.0,31
42933,2015,8,1,0.0,31
42933,2015,8,2,0.0,31
42933,2015,8,3,0.0,31
42933,2015,8,4,31.0,31
42933,2015,8,5,187.7,31
42933,2015,8,6,12.5,32
42933,2015,8,7,3.2,32
42933,2015,8,8,0.0,32
42933,2015,8,9,12.0,32
42933,2015,8,10,1.3,32
42933,2015,8,11,0.0,32
42933,2015,8,12,8.7,32
42933,2015,8,13,24.8,33
42933,2015,8,14,9.0,33
42933,2015,8,15,0.0,33
42933,2015,8,16,0.0,33
42933,2015,8,17,0.0,33
42933,2015,8,18,0.0,33
42933,2015,8,19,0.0,33
42933,2015,8,20,0.0,34
42933,2015,8,21,0.0,34
42933,2015,8,22,0.0,34
42933,2015,8,23,0.0,34
42933,2015,8,24,0.0,34
42933,2015,8,25,0.0,34
42933,2015,8,26,0.0,34
42933,2015,8,27,0.0,35
42933,2015,8,28,0.0,35
42933,2015,8,29,0.0,35
42933,2015,8,30,16.9,35
42933,2015,8,31,0.0,35
42933,2015,9,1,0.0,35
42933,2015,9,2,0.0,35
42933,2015,9,3,0.0,36
42933,2015,9,4,2.7,36
42933,2015,9,5,8.1,36
42933,2015,9,6,0.0,36
42933,2015,9,7,0.0,36
42933,2015,9,8,30.1,36
42933,2015,9,9,0.0,36
42933,2015,9,10,0.0,37
42933,2015,9,11,0.0,37
42933,2015,9,12,0.0,37
42933,2015,9,13,1.0,37
42933,2015,9,14,0.0,37
42933,2015,9,15,0.0,37
42933,2015,9,16,37.9,37
42933,2015,9,17,0.0,38
42933,2015,9,18,56.3,38
42933,2015,9,19,1.0,38
42933,2015,9,20,0.0,38
42933,2015,9,21,0.0,38
42933,2015,9,22,0.0,38
